Team	Region_seed	Region	Bracket_seed
Kansas	1	South	1
Colorado	8	South	30
Maryland	5	South	19
California	4	South	14
Arizona	6	South	23
Miami (Fla.)	3	South	10
Iowa	7	South	27
Villanova	2	South	7
Oregon	1	West	4
Saint Joseph's	8	West	32
Baylor	5	West	20
Duke	4	West	13
Texas	6	West	21
Texas A&M	3	West	12
Oregon State	7	West	28
Oklahoma	2	West	6
North Carolina	1	East	2
USC	8	East	31
Indiana	5	East	17
Kentucky	4	East	15
Notre Dame	6	East	22
West Virginia	3	East	9
Wisconsin	7	East	25
Xavier	2	East	8
Virginia	1	Midwest	3
Texas Tech	8	Midwest	29
Purdue	5	Midwest	18
Iowa State	4	Midwest	16
Seton Hall	6	Midwest	24
Utah	3	Midwest	11
Dayton	7	Midwest	26
Michigan State	2	Midwest	5
Austin Peay	16	South	63
Connecticut	9	South	36
South Dakota St.	12	South	50
Hawaii	13	South	52
Wichita St	11	South	43
Buffalo	14	South	56
Temple	10	South	38
UNC-Asheville	15	South	61
Holy Cross	16	West	68
Cincinnati	9	West	35
Yale	12	West	49
UNCW	13	West	51
UNI	11	West	46
Green Bay	14	West	55
VCU	10	West	40
CSU Bakersfield	15	West	60
Florida Gulf Coast	16	East	65
Providence	9	East	33
Chattanooga	12	East	47
Stony Brook	13	East	53
MICH/TULSA	11	East	#N/A
Steph. F. Austin	14	East	58
Pittsburgh	10	East	37
Weber State	15	East	62
Hampton	16	Midwest	64
Butler	9	Midwest	34
Little Rock	12	Midwest	48
Iona	13	Midwest	54
Gonzaga	11	Midwest	44
Fresno State	14	Midwest	57
Syracuse	10	Midwest	39
Middle Tenn.	15	Midwest	59
