
RANK	PREVIOUS	SCHOOL	CONFERENCE	RECORD	ROAD	NEUTRAL	HOME	NON-DI
1	1	Kentucky	Southeastern	31-0	10-0	2-0	19-0	0-0
2	2	Kansas	Big 12	24-7	5-6	3-1	16-0	0-0
3	3	Villanova	Big East	29-2	9-2	4-0	16-0	0-0
4	4	Wisconsin	Big Ten	28-3	10-2	3-0	15-1	0-0
5	5	Duke	Atlantic Coast	28-3	9-2	4-0	15-1	0-0
6	6	Virginia	Atlantic Coast	28-2	11-1	2-0	15-1	0-0
7	7	Arizona	Pac-12	28-3	8-3	3-0	17-0	0-0
8	8	Gonzaga	West Coast	32-2	11-1	5-0	15-1	1-0
9	10	Baylor	Big 12	23-8	6-5	1-1	15-2	1-0
10	9	Maryland	Big Ten	26-5	6-4	2-0	18-1	0-0
11	11	Iowa St.	Big 12	22-8	5-5	2-2	15-1	0-0
12	12	UNI	Missouri Valley	30-3	9-3	6-0	15-0	0-0
13	13	North Carolina	Atlantic Coast	22-10	8-4	4-1	10-5	0-0
14	16	SMU	AAC	24-6	8-4	0-0	15-2	1-0
15	15	Utah	Pac-12	23-7	6-6	1-0	15-1	1-0
16	14	Oklahoma	Big 12	21-9	5-6	2-2	14-1	0-0
17	17	Louisville	Atlantic Coast	24-7	7-3	2-0	15-4	0-0
18	18	Wichita St.	Missouri Valley	28-4	10-2	3-2	14-0	1-0
19	19	Georgetown	Big East	20-9	5-4	2-2	13-3	0-0
20	21	VCU	Atlantic 10	22-9	8-4	2-1	12-4	0-0
21	20	West Virginia	Big 12	23-8	5-5	6-0	12-3	0-0
22	22	Arkansas	Southeastern	24-7	7-5	0-0	17-2	0-0
23	23	Providence	Big East	21-10	5-6	3-0	13-4	0-0
24	24	Butler	Big East	22-9	7-4	2-2	13-3	0-0
25	25	Notre Dame	Atlantic Coast	26-5	7-2	2-1	17-2	0-0
26	26	Colorado St.	Mountain West	26-5	8-4	3-0	14-1	1-0
27	27	Michigan St.	Big Ten	21-10	7-4	2-2	12-4	0-0
28	28	San Diego St.	Mountain West	24-7	6-5	2-1	15-1	1-0
29	29	Oregon	Pac-12	23-8	5-4	1-2	16-2	1-0
30	30	Buffalo	Mid-American	21-9	10-7	0-0	11-2	0-0
31	31	Davidson	Atlantic 10	23-6	9-4	0-0	13-2	1-0
